"sku","image","images"
"B0CPSYK4CV","","[""/uploads/039d2cf0d486153c.jpg"",""/uploads/da6495c4bf528289.jpg"",""/uploads/db2d084321e80924.jpg"",""/uploads/6fcc7b444d2a8825.jpg"",""/uploads/8b801d141f7065ad.jpg"",""/uploads/06e981ed818a6dfb.jpg"",""/uploads/d0ac7aafd4027038.jpg""]"
"B0CPSWVRWR","","[""/uploads/039d2cf0d486153c.jpg"",""/uploads/da6495c4bf528289.jpg"",""/uploads/db2d084321e80924.jpg"",""/uploads/6fcc7b444d2a8825.jpg"",""/uploads/8b801d141f7065ad.jpg"",""/uploads/06e981ed818a6dfb.jpg"",""/uploads/d0ac7aafd4027038.jpg""]"
"B0CPSYQMCB","","[""/uploads/039d2cf0d486153c.jpg"",""/uploads/da6495c4bf528289.jpg"",""/uploads/8b801d141f7065ad.jpg"",""/uploads/6fcc7b444d2a8825.jpg"",""/uploads/06e981ed818a6dfb.jpg"",""/uploads/d0ac7aafd4027038.jpg""]"
"B0CPSXJMLL","","[""/uploads/039d2cf0d486153c.jpg"",""/uploads/da6495c4bf528289.jpg"",""/uploads/db2d084321e80924.jpg"",""/uploads/6fcc7b444d2a8825.jpg"",""/uploads/8b801d141f7065ad.jpg"",""/uploads/06e981ed818a6dfb.jpg"",""/uploads/d0ac7aafd4027038.jpg""]"
"B0CPT179YP","","[""/uploads/039d2cf0d486153c.jpg"",""/uploads/da6495c4bf528289.jpg"",""/uploads/db2d084321e80924.jpg"",""/uploads/6fcc7b444d2a8825.jpg"",""/uploads/8b801d141f7065ad.jpg"",""/uploads/06e981ed818a6dfb.jpg"",""/uploads/d0ac7aafd4027038.jpg""]"
"B0CPT2FG9Y","","[""/uploads/edf776766c3318ab.jpg"",""/uploads/c42605619a90fbc1.jpg"",""/uploads/2999f432b90ae606.jpg"",""/uploads/9e493b3972953ece.jpg"",""/uploads/6e0d5dfb37b67897.jpg"",""/uploads/e05d94f5c8ae822e.jpg""]"
"B0CPT35ZD6","","[""/uploads/edf776766c3318ab.jpg"",""/uploads/c42605619a90fbc1.jpg"",""/uploads/83b790b024b540cd.jpg"",""/uploads/9e493b3972953ece.jpg"",""/uploads/2999f432b90ae606.jpg"",""/uploads/6e0d5dfb37b67897.jpg"",""/uploads/e05d94f5c8ae822e.jpg""]"
"B0CPT2NR39","","[""/uploads/edf776766c3318ab.jpg"",""/uploads/c42605619a90fbc1.jpg"",""/uploads/83b790b024b540cd.jpg"",""/uploads/9e493b3972953ece.jpg"",""/uploads/2999f432b90ae606.jpg"",""/uploads/6e0d5dfb37b67897.jpg"",""/uploads/e05d94f5c8ae822e.jpg""]"
"B0CPT2VJV6","","[""/uploads/edf776766c3318ab.jpg"",""/uploads/c42605619a90fbc1.jpg"",""/uploads/83b790b024b540cd.jpg"",""/uploads/9e493b3972953ece.jpg"",""/uploads/2999f432b90ae606.jpg"",""/uploads/6e0d5dfb37b67897.jpg"",""/uploads/e05d94f5c8ae822e.jpg""]"
"B0CPT3WCVS","","[""/uploads/edf776766c3318ab.jpg"",""/uploads/c42605619a90fbc1.jpg"",""/uploads/83b790b024b540cd.jpg"",""/uploads/9e493b3972953ece.jpg"",""/uploads/2999f432b90ae606.jpg"",""/uploads/6e0d5dfb37b67897.jpg"",""/uploads/e05d94f5c8ae822e.jpg""]"
"B0CPYDGLY8","","[""/uploads/d5a4c384d784fa45.jpg"",""/uploads/4e89cc305d876724.jpg"",""/uploads/ba412cea953af98c.jpg"",""/uploads/9aec61381dec7113.jpg"",""/uploads/298f5c5222097a0f.jpg"",""/uploads/5e795861688cd468.jpg""]"
"B0CPYDG9TF","","[""/uploads/d5a4c384d784fa45.jpg"",""/uploads/4e89cc305d876724.jpg"",""/uploads/df79da38e59a8822.jpg"",""/uploads/9aec61381dec7113.jpg"",""/uploads/ba412cea953af98c.jpg"",""/uploads/298f5c5222097a0f.jpg"",""/uploads/5e795861688cd468.jpg""]"
"B0CPYFYQHC","","[""/uploads/d5a4c384d784fa45.jpg"",""/uploads/4e89cc305d876724.jpg"",""/uploads/df79da38e59a8822.jpg"",""/uploads/9aec61381dec7113.jpg"",""/uploads/ba412cea953af98c.jpg"",""/uploads/298f5c5222097a0f.jpg"",""/uploads/5e795861688cd468.jpg""]"
"B0CPYFLP9J","","[""/uploads/d5a4c384d784fa45.jpg"",""/uploads/4e89cc305d876724.jpg"",""/uploads/df79da38e59a8822.jpg"",""/uploads/9aec61381dec7113.jpg"",""/uploads/ba412cea953af98c.jpg"",""/uploads/298f5c5222097a0f.jpg"",""/uploads/5e795861688cd468.jpg""]"
